applicant_id,CPA,weight
STR-03559A,"MISSION BEACH",10
STR-04037A,"MISSION BEACH",7
STR-03911A,"MISSION BEACH",10
STR-04043A,"MISSION BEACH",7
STR-04019A,"MISSION BEACH",10
STR-04038A,"MISSION BEACH",10
STR-03866A,"MISSION BEACH",3
STR-03753A,"MISSION BEACH",6
STR-03562A,"MISSION BEACH",10
STR-04068A,"MISSION BEACH",9
STR-03693A,"MISSION BEACH",10
STR-04026A,"MISSION BEACH",8
STR-03984A,"MISSION BEACH",8
STR-03983A,"MISSION BEACH",10
STR-03839A,"MISSION BEACH",10
STR-03739A,"MISSION BEACH",10
STR-03588A,"MISSION BEACH",10
STR-04021A,"MISSION BEACH",7
STR-03686A,"MISSION BEACH",8
STR-04132A,"MISSION BEACH",8
STR-03986A,"MISSION BEACH",10
STR-03999A,"MISSION BEACH",7
STR-03832A,"MISSION BEACH",8
STR-03699A,"MISSION BEACH",10
STR-03480A,"MISSION BEACH",10
STR-03891A,"MISSION BEACH",5
STR-03883A,"MISSION BEACH",10
STR-04004A,"MISSION BEACH",10
STR-03964A,"MISSION BEACH",10
STR-04000A,"MISSION BEACH",10
STR-03815A,"MISSION BEACH",6
STR-03642A,"MISSION BEACH",10
STR-03418A,"MISSION BEACH",8
STR-03993A,"MISSION BEACH",8
STR-03769A,"MISSION BEACH",10
STR-03941A,"MISSION BEACH",8
STR-03952A,"MISSION BEACH",10
STR-04008A,"MISSION BEACH",5
STR-03781A,"MISSION BEACH",7
STR-03585A,"MISSION BEACH",10
STR-03469A,"MISSION BEACH",8
STR-03995A,"MISSION BEACH",9
STR-03646A,"MISSION BEACH",10
STR-03946A,"MISSION BEACH",10
STR-03900A,"MISSION BEACH",7
STR-03960A,"MISSION BEACH",6
STR-03796A,"MISSION BEACH",9
STR-03540A,"MISSION BEACH",10
STR-03451A,"MISSION BEACH",10
STR-03871A,"MISSION BEACH",8
STR-03583A,"MISSION BEACH",10
STR-03950A,"MISSION BEACH",4
STR-03844A,"MISSION BEACH",7
STR-03962A,"MISSION BEACH",7
STR-03225A,"MISSION BEACH",8
STR-03505A,"MISSION BEACH",7
STR-03394A,"MISSION BEACH",7
STR-03778A,"MISSION BEACH",7
STR-03441A,"MISSION BEACH",8
STR-03831A,"MISSION BEACH",8
STR-03808A,"MISSION BEACH",8
STR-03828A,"MISSION BEACH",10
STR-03417A,"MISSION BEACH",8
STR-03484A,"MISSION BEACH",10
STR-03274A,"MISSION BEACH",10
STR-03816A,"MISSION BEACH",7
STR-03378A,"MISSION BEACH",6
STR-03779A,"MISSION BEACH",7
STR-03772A,"MISSION BEACH",7
STR-03775A,"MISSION BEACH",7
STR-03756A,"MISSION BEACH",10
STR-03395A,"MISSION BEACH",7
STR-03283A,"MISSION BEACH",4
STR-03819A,"MISSION BEACH",10
STR-03374A,"MISSION BEACH",6
STR-03653A,"MISSION BEACH",10
STR-03745A,"MISSION BEACH",10
STR-03717A,"MISSION BEACH",8
STR-03387A,"MISSION BEACH",8
STR-03468A,"MISSION BEACH",8
STR-03340A,"MISSION BEACH",7
STR-03852A,"MISSION BEACH",10
